Area ID,Area Name,Battle Type,Echelon,Preset
1214,Ele.4,Day,1,MXwyMDA1NS05LTQtMzItOTk7MTgzLTgtMjI0LTIwLTM1NzsyMDExNC03LTMwNS03Mi0yMTM7MjAxMjItMTQtNC0zMi0xOTA7MjAyOTMtMTMtNC0zMi0yNzV8MA==
1214,Ele.4,Day,2,MXwyMDA2NS05LTEwNi0zNTYtMTU5OzIwMjA1LTgtMjc0LTMyLTIzNDsyMDA1Ni03LTQtMTI2LTMyOzIwMjMzLTE0LTI2Ni03Mi00MDsyMDAwOC0xMy0xODAtMjM4LTM1MXww
1214,Ele.4,Day,3,MXwyMDA5Ny05LTE3OS03Mi01ODsyMDA1Ny04LTEwMC0zMzgtNjA7MjAyMjgtNy00MC0zMzUtMTY4OzIxMy0xNC0yMzQtMjAtMTI7MjAwMTAtMTMtMTU1LTcyLTM1NXww
1214,Ele.4,Day,4,MXwyMDAwNy05LTIyNC03Mi0xNzE7MjAyMTItOC0yMjQtNzItNTg7MjAxMTUtNy0xOTctMjg2LTY2OzIwMDAxLTE0LTEyMi03Mi00MDsyMDAxMi0xMy0yMjQtNzItNDB8MA==
1214,Ele.4,Day,5,MXwyNDItOS0yNzgtNzItNTg7Ni04LTMwNS03Mi00MDsyMDIyMS03LTIyNC03Mi01ODsyOTQtMTQtMzA1LTcyLTQwOzE0Mi0xMy0zMzItNzItNTh8MA==
1214,Ele.4,Day,6,MXwyMDAyNi05LTYyLTM0OC0xNTc7MTAxNy04LTMwNS03Mi00MDs0LTctMzA1LTI3MS00MDs5Ni0xNC0zMDUtNzItMjM3OzM3OC0xMy0xMi0zMTctMjM0fDA=
1214,Ele.4,Day,7,MXwyMDIxNi05LTgtMzItMjM0OzIwMTI3LTgtMjM0LTE4Mi0xMjsxMTgtNy00LTMyLTI0ODs2Mi0xNC00LTMyLTEyNzsyMDYtMTMtOC0zMi0yMzR8MA==
1214,Ele.4,Day,8,MXwxMDI3LTktNC0zMi0xODQ7MjUwLTgtMzA1LTcyLTQwOzEwMTgtNy0zMDUtNzItMTQ3OzMwMy0xNC0zMDUtNzItNDA7MjAxNzEtMTMtMTItMzItMjM0fDA=
1214,Ele.4,Day,9,MXwyMDA2MC05LTgtMTM1LTIzNDs3My04LTI5NS0zMi0yMzQ7MjAxNDMtNy0xOTItNzItMTI7MjAwMDUtMTQtMTEzLTcyLTQwOzI3Mi0xMy0zMDUtNzItNDB8MA==
1214,Ele.4,Day,10,MXwyMDEwMS05LTQwLTM1OS0xNTY7MjAwMDItOC0zMDUtMTAxLTQwOzI4NS03LTMwNS03Mi01ODsyMDEwMy0xNC00MC0zNTgtMTI1OzM3Ni0xMy00MC05NS0xMnww
1214,Ele.4,Day,11,MXwyMDA5MS05LTMwNS05NS00MDsyNDUtOC00MC05NS0yNzc7MTAwOS03LTMwNS05NS01ODsyMTUtMTQtMTc1LTMyLTMwOTsyMDA2NC0xMy0xMzAtMzItNDB8MA==
