Area ID,Area Name,Battle Type,Echelon,Preset
1314,Ele.4,Day,1,MXwyMDIwNi05LTQtMzItNDEyOzIwMDU1LTgtNC0zMi05OTsyMDExNC03LTQwNi03Mi0yMTM7MjAxOTYtMTQtNC0zMi00MjQ7MjcyLTEzLTIyNC00MzYtNTh8MA==
1314,Ele.4,Day,2,MXwxODMtOS0yMjQtMjAtMzU3OzIwMTIyLTgtNC0zMi0xOTA7MjAyMzMtNy0yNjYtNzItMzgxOzIwMjkzLTE0LTQtMzItMjc1OzIwMDk3LTEzLTE3OS03Mi0zODR8MA==
1314,Ele.4,Day,3,MXwyMDA2NS05LTEwNi0zNTYtMTU5OzIwMjA1LTgtMjc0LTMyLTIzNDsyMDMxMC03LTIyNC03Mi00MDQ7MjAyMjEtMTQtMjI0LTE3Ni01ODsyMDAwOC0xMy0xODAtMjM4LTM1MXww
1314,Ele.4,Day,4,MXwyMDI4OC05LTQtMzItNDMxOzIwMDY2LTgtODMtMzY4LTI5OTsyMDA1Ny03LTEwMC0zMzgtNjA7MjAyMjgtMTQtNDAtMzM1LTE2ODsyMDAxMi0xMy0xNjctNzItMzUzfDA=
1314,Ele.4,Day,5,MXwyMDA1Ni05LTQtMTI2LTMyOzIwMDAxLTgtMTIyLTQyMy00MDsyMDAxMC03LTE1NS03Mi0zNTU7MjAwMDctMTQtMjI0LTcyLTE3MTszNDctMTMtMjM0LTIwLTEyfDA=
1314,Ele.4,Day,6,MXwyMDA2NC05LTEzMC0zMi0zOTA7MjAxMjctOC0zOTYtMTgyLTEyOzIwMjEyLTctMjI0LTcyLTMzNDsyMDI2Mi0xNC00LTMyLTM4MzsyMDIxNi0xMy0yNzMtMzItMjM0fDA=
1314,Ele.4,Day,7,MXwyMDA2MC05LTQtMTM1LTM2MDsyMTMtOC0yMzQtMjAtMTI7MjAxNzEtNy0yNjEtMzItMjM0OzIwMjIwLTE0LTIyNC03Mi01ODsyMDExNS0xMy0xOTctMjg2LTY2fDA=
1314,Ele.4,Day,8,MXwyNjAtOS0yMjQtNzItMzIwOzI5NC04LTMwNS03Mi00MTM7MTA0My03LTQtMzItMzg4OzIwMDEzLTE0LTIyNC03Mi01ODs2Mi0xMy00LTQxOS0xMjd8MA==
1314,Ele.4,Day,9,MXw1NC05LTMyLTQ0LTkxOzEwNDItOC0yMjQtNzItMzg3OzI1MC03LTIyNC03Mi00MTc7MjAwMDUtMTQtMTEzLTcyLTQxNTsyMDEwMS0xMy05Mi0zNTktMTU2fDA=
1314,Ele.4,Day,10,MXwxMDQ1LTktMjI0LTcyLTQyOTsyNDItOC0yNzgtNzItNTg7MjAwMjYtNy02Mi0zNDgtMTU3OzIwMTQzLTE0LTE5Mi0zOTEtNjY7OS0xMy0yNjctNzItNDB8MA==
