ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
45542956,10,HG,★★,PPK,100,3263300,-,-,x5,,285,285,27,62,105,63,15,0,0,20,8,0,,,,100,,,Locked
45542983,20029,SMG,★★★★,STEN MkⅡ Mod,115,10083300,-,-,x5,Mod2,970,970,31,18,82,86,12,0,0,5,10,10,16Lab T4 Exoskeleton,,,100,,,Locked
45602871,77,MG,★★★,M2HB,100,3263300,-,-,x5,,1075,1075,108,19,17,100,4,0,10,5,10,0,,,,100,,,Locked
45602892,14,HG,★★★,Astra,100,3263300,-,-,x5,,400,400,35,48,72,52,15,0,0,20,10,0,,,,100,,,Locked
45611904,27,SMG,★★★,Skorpion,100,3263300,-,-,x5,,795,795,26,14,88,95,12,0,0,5,9,0,,,,100,,,Locked
45618768,20061,AR,★★★★,StG44 Mod,115,10083300,-,-,x5,Mod2,645,645,61,52,39,66,10,0,0,20,10,10,,,,100,,,Locked
45618830,16,SMG,★★★★★,Thompson,100,3263300,-,-,x5,,1190,1190,33,13,59,82,12,0,0,5,8,0,Thompson's Exoskeleton,,AC4 Suppressor,100,,,Locked
45619226,184,RF,★★★★,T-5000,100,3263300,-,-,x5,,450,450,133,90,30,36,7,0,0,40,1,0,,,,100,,,Locked
45705322,70,AR,★★★,FF FNC,100,3263300,-,-,x5,,550,550,54,49,39,73,10,0,0,20,1,0,,,,100,,,Locked
45724903,15,HG,★★★,G17,100,3263300,-,-,x5,,315,315,31,61,92,61,15,0,0,20,1,0,,,,100,,,Locked
45725278,58,AR,★★★,AK-47,100,3263300,-,-,x5,,660,660,56,37,36,65,10,0,0,20,1,0,,,,100,,,Locked
45738860,20051,RF,★★★★,FF FN49 Mod,115,10083300,0,0,x5,Mod3,475,475,125,67,35,34,7,0,0,40,10,10,,,,100,,,Locked
45768374,20026,SMG,★★★★★,Gr MP5 Mod,115,10176115,0,0,x5,Mod3,900,900,33,15,75,90,12,0,0,5,10,10,IOP T4 Exoskeleton,ILM Hollow-Point Ammo,LED Weapon Light,100,,,Locked
45877995,69,AR,★★★★,Fr FAMAS,100,3263300,-,-,x5,,605,605,47,51,42,81,10,0,0,20,1,0,,,,100,,,Locked
45881682,197,RF,★★★★★,Carcano M1891,100,3263300,-,-,x5,,400,400,145,90,45,34,7,0,0,40,8,0,,,,100,,,Locked
45983144,20039,RF,★★★★★,Mosin-Nagant Mod,115,10112493,0,0,x5,Mod3,450,450,142,93,41,31,7,0,0,40,10,10,,,,100,,,Locked
46080742,99,HG,★★★★,Gr Mk23,100,3263300,-,-,x5,,400,400,31,56,70,63,15,0,0,20,8,0,,,,100,,,Locked
46090170,148,RF,★★★★★,IWS 2000,100,3263300,-,-,x5,,440,440,171,82,31,32,7,0,0,40,4,0,,,,100,,,Locked
46148112,21,SMG,★★,PPSh-41,90,2021733,0,0,x5,,920,920,26,11,55,90,12,0,0,5,1,0,#2 Processor,ILM Hollow-Point Ammo,Experimental Curved Barrel,100,,,Locked
46383815,20056,AR,★★★★★,M4 SOPMOD II Mod,116,12308002,0,0,x5,Mod3,565,565,60,58,53,79,10,0,0,30,10,10,Dinergate RO,VFL 6-24X56,APCR High-Velocity Ammo,200,Oathed,2020-02-14 14:55,Locked
46499791,181,AR,★★★★★,T91,100,3263300,-,-,x5,,620,620,54,47,49,76,10,0,0,20,5,0,,,,100,,,Locked
46580766,20060,AR,★★★★★,AS Val Mod,115,10271877,0,0,x5,Mod3,675,675,45,53,53,76,10,0,0,20,10,10,,SP6 Subsonic Ammo,IOP X4 Exoskeleton,100,,,Locked
46767867,46,RF,★★★★★,Kar98k,100,3263300,-,-,x5,,420,420,142,82,44,34,7,0,0,40,10,0,,,,100,,,Locked
46820867,20057,AR,★★★★★,ST AR-15 Mod,116,13449097,0,0,x5,Mod3,535,535,52,57,54,78,10,0,0,20,10,10,PEQ-16A,Lightweight Rail Kit,.300BLK High-Velocity Ammo,100,,,Locked
46958149,20064,AR,★★★★★,Gr G36 Mod,115,10678447,0,0,x5,Mod3,645,645,54,51,47,75,10,0,0,20,10,10,PEQ-16A,APCR High-Velocity Ammo,,100,,,Locked
47270344,106,AR,★★★★★,FAL,100,3263300,-,-,x5,,660,660,60,46,40,72,10,0,0,20,6,0,,,,100,,,Locked
47391245,155,SG,★★★★,M590,100,3263300,-,-,x5,,1320,1320,34,12,11,31,6,22,4,40,1,0,,,,100,,,Locked
47396905,137,SMG,★★★★,PP-19-01,70,705552,0,0,x4,,660,660,25,11,54,78,12,0,0,5,1,0,,,,100,,,Locked
47694020,72,AR,★★★★,TAR-21,31,52240,0,0,x3,,207,207,30,20,19,62,10,0,0,20,1,0,,,,100,,,Locked
47806914,20001,HG,★★★★★,SAA Mod,115,10409977,0,0,x5,Mod3,410,410,39,53,83,50,15,0,0,20,10,10,SAA Long Barrel,ILM Hollow-Point Ammo,,100,,,Locked
47846207,62,AR,★★★★★,Gr G41,100,3263300,-,-,x5,,635,635,53,51,42,77,10,0,0,20,6,0,PEQ-16A,16Lab High-Velocity Ammo,Hi-Performance Tactical Hair Accessory,100,,,Locked
47879442,171,AR,★★★★,Ribeyrolles,100,3263300,-,-,x5,,550,550,68,47,42,63,10,0,0,20,4,0,PEQ-16A,APCR High-Velocity Ammo,IOP X4 Exoskeleton,100,,,Locked
48324538,43,RF,★★★★,SVD,100,3263300,-,-,x5,,400,400,137,84,35,37,7,0,0,40,7,0,,,,100,,,Locked
48444649,135,SMG,★★★★★,SR-3MP,100,3263300,-,-,x5,,970,970,33,13,71,90,12,0,0,5,4,0,,,,100,,,Locked
