ID,No.,Type,Star,Name,Doll ID,Doll,Damage,Accuracy,Evasion,Move Speed,Rate of Fire,Crit.Rate,Crit.Damage,Armor Pen.,Armor,Shield,Damage Amplify,Damage Reduction,Night View,Rounds,Equip Exp,Equip Level,EQUIP_INFO_ADJUST_MAX,Adjust Count,Locked
8676763,4,Optical (Acc),★★★★★,VFL 6-24X56,107929136,QBU-88,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,8,Locked
8813539,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,48664141,Contender,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10100,10,MAX,4,Locked
9141991,109,Optical (Acc),★★★★★,16Lab 6-24X56,116665360,R93,-,-,-,-,-,48.0000%,-,-,-,-,-,-,-,-,10100,10,MAX,0,Locked
9206963,110,HV (Ammo),★★★★★,16Lab High-Velocity Ammo,-,-,20.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,0,Locked
9273947,16,PEQ (Acc),★★★★★,PEQ-16A,185172265,ZiP .22,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,6,Locked
9275041,108,Sp. Eq (Exclusive),★★★★★,Blue Thick Cape,-,-,-,-,-,-3.000,2,-,18%,-,-,-,-,-,-,-,2800,3,MAX,6,Locked
9280278,58,X Exo (Body),★★★★★,IOP X4 Exoskeleton,106466310,Python,-,-,20,-,-,-,-,-,-,-,-,-,-,-,10025,10,MAX,10,Locked
9423780,4,Optical (Acc),★★★★★,VFL 6-24X56,45619763,NTW-20 Mod,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10025,10,MAX,8,Locked
9454031,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,30,-,-,-1,-,-,-,-,-,-,-,-,-,10000,10,MAX,6,Locked
9781028,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,10,-,-,20%,-,-,-,-,-,-,-,-,10000,10,MAX,16,Locked
10232070,4,Optical (Acc),★★★★★,VFL 6-24X56,66659577,M99,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,16,Locked
10880358,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,21,-,-,-1,-,-,-,-,-,-,-,-,-,1750,4,MAX,13,Locked
11114138,16,PEQ (Acc),★★★★★,PEQ-16A,199494274,Colt Walker,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,12,Locked
11198969,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,7.4503,-,-,17.7908%,-,-,-,-,-,-,-,-,10000,10,,0,Locked
11212778,16,PEQ (Acc),★★★★★,PEQ-16A,202489392,P10C,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,15,Locked
11389068,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,7.7197,-,-,18.2324%,-,-,-,-,-,-,-,-,10025,10,,0,Locked
11401650,16,PEQ (Acc),★★★★★,PEQ-16A,198731241,SCAR-L,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,13,Locked
11454206,16,PEQ (Acc),★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,8,Locked
11471165,16,PEQ (Acc),★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,MAX,11,Locked
11533253,66,Supp (Silencer),★★★★★,AC4 Suppressor,-,-,-,-,7.4695,-,-,16.2540%,-,-,-,-,-,-,-,-,10025,10,,0,Locked
11588017,121,T Exo (Body),★★★★★,16Lab T4 Exoskeleton,113609431,Px4 Storm Mod,-6.0000,-,35.0000,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,0,Locked
11616073,120,Red Dot (Acc),★★★★★,16Lab MARS,-,-,-,30.0000,-,-,-1.0000,-,-,-,-,-,-,-,-,-,10000,10,MAX,0,Locked
11729297,4,Optical (Acc),★★★★★,VFL 6-24X56,173001612,General Liu,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,3,Locked
11761459,40,T Exo (Body),★★★★★,IOP T4 Exoskeleton,-,-,-7.0,-,32.2,-,-,-,-,-,-,-,-,-,-,-,10000,10,,2,Locked
11761460,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,107929136,QBU-88,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,2,Locked
11815060,90,Cape (Body),★★★★★,Thermoptic Camouflage Cape,116665360,R93,-,-,-,-3.0000,-,-,25%,-,-,-,-,-,-,-,10000,10,MAX,7,Locked
11816822,44,Plate (Body),★★★★★,Type 3 Armor Plate,-,-,-,-,-2,-,-,-,-,-,11,-,-,-,-,-,10000,10,MAX,6,Locked
