Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2022-10-03 15:46:46,10508,Hornet's Nest+,24,HG,P38,2,0,,,
2022-10-03 15:48:30,10508,Hornet's Nest+,25,RF,SKS,2,0,,,
2022-10-08 18:58:10,10508,Hornet's Nest+,53,HG,P38,2,0,,,
2023-01-01 13:23:26,128,Old Friend,23,RF,M1 Garand,3,1,,,
2023-01-01 13:23:49,128,Old Friend,23,SMG,MP40,2,0,,,
2023-01-01 13:24:29,128,Old Friend,23,RF,SVT-38,2,0,,,
2023-01-01 13:24:52,128,Old Friend,23,SMG,Type64,2,0,,,
2023-01-01 13:25:06,128,Old Friend,23,HG,Gr USPCompact,2,0,,,
2023-01-01 13:26:33,128,Old Friend,24,SMG,MP40,2,0,,,
2023-01-01 13:26:56,128,Old Friend,24,HG,M1895,2,0,,,
2023-01-01 13:27:19,128,Old Friend,24,SMG,IDW,2,0,,,
2023-01-01 13:27:41,128,Old Friend,24,SMG,PPSh-41,2,0,,,
2023-01-01 13:27:53,128,Old Friend,24,RF,VM59,2,0,,,
