id,user_id,component_id,exp,level,skin,is_locked,roll_1,roll_2,roll_3,roll_4,roll_5,unlocked_att,heavy_damage,light_damage,reload,precision,atk_speed,hit,armor,dodge,crit_rate,crit_damage,L_armor_piercing,def_break,H_armor_piercing,energy,energy_bak,skill
5723,563002,3115,0,0,0,1,crit_rate:14,crit_damage:14,skill:220182,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6006,563002,1128,33600,10,0,1,def_break:76,skill:770100,hit:10,,,"1,2,3",0,0,0,0,0,10,0,0,0,0,0,76,0,0,0,770100
6323,563002,3131,0,0,0,1,H_armor_piercing:26,precision:22,skill:220180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6390,563002,1011,32700,10,0,0,dodge:6,armor:6,,,,"1,2",0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,
8260,563002,2134,0,0,0,1,def_break:60,skill:770107,armor:5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14962,563002,2115,0,0,0,1,H_armor_piercing:30,crit_rate:16,skill:770032,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15367,563002,3125,0,0,0,1,crit_damage:14,skill:770041,L_armor_piercing:18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30145,563002,3133,800,1,0,1,skill:770016,dodge:4,armor:4,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770016
30346,563002,2124,0,0,0,1,skill:770107,dodge:5,crit_rate:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30549,563002,1107,33300,10,0,0,def_break:76,skill:770090,hit:10,,,"1,2,3",0,0,0,0,0,10,0,0,0,0,0,76,0,0,0,770090
30550,563002,2107,0,0,0,1,skill:770036,light_damage:38,atk_speed:8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30645,563002,1101,0,0,0,1,light_damage:48,def_break:76,skill:770106,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49313,563002,1012,0,0,0,0,heavy_damage:48,precision:32,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49402,563002,1103,0,0,0,1,skill:220187,light_damage:48,hit:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49435,563002,1133,0,0,0,1,crit_damage:20,dodge:6,skill:770100,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49528,563002,1118,0,0,0,1,heavy_damage:48,def_break:76,skill:220180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61284,563002,2132,0,0,0,1,skill:770100,def_break:60,crit_rate:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61361,563002,2108,0,0,0,1,def_break:60,skill:220173,reload:12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61455,563002,1013,3600,3,0,0,light_damage:48,atk_speed:10,,,,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,
61457,563002,3134,0,0,0,1,skill:770096,dodge:4,crit_rate:14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61506,563002,2122,0,0,0,1,L_armor_piercing:20,light_damage:38,skill:770109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61688,563002,2132,0,0,0,1,skill:770030,crit_damage:16,L_armor_piercing:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61690,563002,1007,0,0,0,0,light_damage:48,L_armor_piercing:26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61841,563002,2132,0,0,0,1,L_armor_piercing:20,skill:770032,crit_damage:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62042,563002,2133,0,0,0,1,def_break:60,crit_rate:16,skill:770100,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62043,563002,2121,0,0,0,1,crit_rate:16,skill:770107,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68614,563002,3116,0,0,0,1,crit_rate:14,skill:770039,crit_damage:14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68615,563002,3114,0,0,0,1,skill:770030,def_break:53,H_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68652,563002,3132,0,0,0,1,def_break:53,skill:770030,L_armor_piercing:18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68719,563002,2131,0,0,0,1,skill:220175,heavy_damage:38,H_armor_piercing:30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68782,563002,2119,0,0,0,1,skill:220175,def_break:60,H_armor_piercing:30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68959,563002,1122,0,0,0,1,def_break:76,L_armor_piercing:26,skill:770038,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69644,563002,2110,0,0,0,1,def_break:60,skill:220181,reload:12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69933,563002,1122,0,0,0,1,skill:770096,hit:10,light_damage:48,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70187,563002,1119,0,0,0,1,skill:770093,reload:16,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82799,563002,3121,0,0,0,1,def_break:53,dodge:4,skill:770109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82816,563002,2105,0,0,0,1,skill:770024,crit_damage:16,H_armor_piercing:30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82818,563002,3116,0,0,0,1,skill:770040,def_break:53,H_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82855,563002,3119,0,0,0,1,heavy_damage:33,skill:220175,H_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82904,563002,3134,20000,10,0,1,skill:770109,crit_rate:14,armor:4,,,"1,2,3",0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,770109
86607,563002,2122,0,0,0,1,skill:770109,hit:8,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86608,563002,1101,0,0,0,1,L_armor_piercing:26,light_damage:48,skill:770113,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86688,563002,2101,0,0,0,1,light_damage:38,skill:770036,L_armor_piercing:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86881,563002,2122,0,0,0,1,light_damage:38,skill:770125,hit:8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86882,563002,1131,0,0,0,1,H_armor_piercing:38,skill:220185,reload:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86885,563002,1122,0,0,0,1,skill:770036,light_damage:48,hit:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99394,563002,2105,0,0,0,1,L_armor_piercing:20,crit_rate:16,skill:770040,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99395,563002,3133,0,0,0,1,skill:770019,armor:4,dodge:4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99434,563002,3124,0,0,0,1,crit_rate:14,armor:4,skill:770109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99435,563002,2127,0,0,0,1,dodge:5,crit_damage:16,skill:770109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104723,563002,1126,0,0,0,1,skill:220187,def_break:76,hit:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104779,563002,2110,0,0,0,1,def_break:60,skill:220167,precision:25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104909,563002,2131,0,0,0,1,precision:25,skill:770096,heavy_damage:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104980,563002,1123,0,0,0,1,def_break:76,skill:770041,crit_damage:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113290,563002,3114,0,0,0,1,skill:770100,crit_damage:14,H_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113320,563002,3127,0,0,0,1,armor:4,dodge:4,skill:770016,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113322,563002,3134,0,0,0,1,def_break:53,armor:4,skill:770096,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113341,563002,2114,0,0,0,1,skill:770100,def_break:60,crit_damage:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113391,563002,1012,0,0,0,0,reload:16,H_armor_piercing:38,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113393,563002,1008,0,0,0,0,heavy_damage:48,light_damage:48,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113397,563002,1129,0,0,0,1,crit_damage:20,skill:770039,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113398,563002,1011,0,0,0,0,armor:6,precision:32,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113399,563002,1012,3500,3,0,0,heavy_damage:48,reload:16,,,,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113409,563002,1115,0,0,0,1,crit_damage:20,crit_rate:20,skill:770030,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113414,563002,1123,0,0,0,1,L_armor_piercing:26,crit_damage:20,skill:770040,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113424,563002,1110,0,0,0,1,skill:220175,precision:32,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113431,563002,1101,0,0,0,1,light_damage:48,L_armor_piercing:26,skill:770090,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113432,563002,1122,0,0,0,1,skill:770106,L_armor_piercing:26,hit:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113433,563002,1122,0,0,0,1,skill:770109,light_damage:48,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113435,563002,1104,0,0,0,1,light_damage:48,def_break:76,skill:770113,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113438,563002,1113,0,0,0,1,skill:770096,heavy_damage:48,precision:32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113442,563002,1110,0,0,0,1,skill:220180,H_armor_piercing:38,reload:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113444,563002,1104,0,0,0,1,def_break:76,skill:770100,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113446,563002,1126,0,0,0,1,light_damage:48,skill:220187,atk_speed:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113448,563002,1126,0,0,0,1,atk_speed:10,hit:10,skill:770038,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113450,563002,1101,0,0,0,1,atk_speed:10,L_armor_piercing:26,skill:770090,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122714,563002,3123,0,0,0,1,skill:770041,crit_damage:14,L_armor_piercing:18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122715,563002,3125,0,0,0,1,crit_damage:14,skill:770014,crit_rate:14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122730,563002,1011,0,0,0,0,armor:6,hit:10,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122753,563002,2104,0,0,0,1,hit:8,atk_speed:8,skill:770036,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122755,563002,2103,0,0,0,1,atk_speed:8,light_damage:38,skill:770036,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122840,563002,1123,0,0,0,1,skill:770041,def_break:76,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122841,563002,1125,0,0,0,1,skill:770024,crit_rate:20,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122869,563002,1124,0,0,0,1,crit_damage:20,dodge:6,skill:770107,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122945,563002,1007,0,0,0,0,heavy_damage:48,L_armor_piercing:26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127166,563002,2110,27100,10,0,1,reload:12,skill:770091,heavy_damage:38,,,"1,2,3",38,0,12,0,0,0,0,0,0,0,0,0,0,0,0,770091
127185,563002,3124,0,0,0,1,def_break:53,armor:4,skill:770014,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127186,563002,3123,0,0,0,1,skill:770039,def_break:53,H_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127187,563002,3114,0,0,0,1,skill:770030,def_break:53,H_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127212,563002,1102,0,0,0,1,atk_speed:10,def_break:76,skill:770036,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127398,563002,2103,0,0,0,1,hit:8,skill:770096,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133950,563002,1107,0,0,0,1,hit:10,def_break:76,skill:770036,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134146,563002,1122,0,0,0,1,skill:770096,def_break:76,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134148,563002,1104,0,0,0,1,light_damage:48,skill:770036,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134195,563002,1108,0,0,0,1,heavy_damage:48,skill:220180,precision:32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134196,563002,1110,0,0,0,1,precision:32,skill:770096,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140817,563002,3129,0,0,0,1,crit_damage:14,crit_rate:14,skill:770014,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140874,563002,3129,400,1,0,1,skill:770039,crit_rate:14,H_armor_piercing:26,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770039
141094,563002,2118,0,0,0,1,skill:770093,precision:25,H_armor_piercing:30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141095,563002,1101,0,0,0,1,skill:220187,def_break:76,light_damage:48,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141219,563002,1130,0,0,0,1,hit:10,def_break:76,skill:220187,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153721,563002,1103,0,0,0,1,atk_speed:10,light_damage:48,skill:770090,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154907,563002,1104,0,0,0,1,skill:770100,atk_speed:10,hit:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155008,563002,1118,0,0,0,1,reload:16,def_break:76,skill:220180,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161103,563002,3134,0,0,0,1,armor:4,skill:770100,crit_damage:14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161172,563002,2107,0,0,0,1,skill:770106,light_damage:38,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
