ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
2704122,1001,★★★,Scarecrow,,91,2128661,48361,68039,x1,★★★★★,,1041,1041,8,1,5,5,1005,Frugal Mobilization,1003,Phantom Stance,100,,,Locked
2704123,2003,★★,Aegis,M,12,5670,770,130,x1,★★,,133,133,0,0,1,0,0,,0,,50,,,Locked
2715063,2006,★★,Manticore,M,91,2084290,3990,112410,x1,★★★★★,,1111,1111,0,0,3,3,0,,0,,92,,,Locked
2728004,3005,★,Striker,XL,25,23480,1680,120,x5,★,◆◆◆◆,385,385,0,0,0,0,0,,0,,66,,,Locked
2748842,2009,★★,Ripper SWAP,M,1,0,0,100,x5,★★,◆◆◆◆,494,494,0,0,1,0,0,,0,,50,,,Locked
2765502,3001,★,Ripper,M,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,Locked
2765514,3006,★,Dinergate,XL,9,2736,36,664,x5,★,◆◆◆◆,168,168,0,0,0,0,0,,0,,50,,,Locked
2797075,2006,★★,Manticore,M,91,2081691,1391,115009,x1,★★★★★,,1111,1111,0,0,3,3,0,,0,,91,,,
2813305,3004,★,Jaeger,XL,90,2053749,86449,26551,x5,★★★★★,◆◆◆◆,569,569,0,0,0,5,0,,0,,100,,,Locked
2826995,2014,★★,Aegis_SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,791,791,0,0,1,0,0,,0,,50,,,Locked
2882944,3006,★,Dinergate,XL,1,0,0,100,x5,★,◆◆◆◆,159,159,0,0,0,0,0,,0,,50,,,Locked
2944859,2015,★★,Jaeger SWAP,XS,1,0,0,100,x1,★★,,69,69,0,0,1,0,0,,0,,50,,,Locked
2969154,3002,★,Vespid,XL,1,0,0,100,x5,★,◆◆◆◆,376,376,0,0,0,0,0,,0,,50,,,Locked
3006035,2011,★★,Prowler_SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,455,455,0,0,1,0,0,,0,,50,,,Locked
3006038,2016,★★,Gingerbread Guard,L,1,0,0,100,x5,★★,◆◆◆◆,899,899,0,0,1,0,0,,0,,50,,,Locked
3060536,3004,★,Jaeger,XS,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,Locked
3095490,3001,★,Ripper,XL,1,0,0,100,x1,★,,83,83,0,0,0,0,0,,0,,50,,,Locked
3138411,3010,★,Goliath Factory,XL,1,0,0,100,x1,★,,636,636,0,0,0,0,0,,0,,50,,,Locked
3138420,2010,★★,Vespid_SWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,433,433,0,0,1,0,0,,0,,50,,,Locked
3152432,3009,★,Jaguar,XS,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,Locked
3168283,2005,★★,Tarantula,L,1,0,0,100,x1,★★,,34,34,0,0,1,0,0,,0,,50,,,Locked
3168285,2005,★★,Tarantula,M,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,
3168287,2006,★★,Manticore,M,90,2003680,36380,76620,x1,★★★★,,1041,1041,0,0,1,1,0,,0,,50,,,
3220838,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
3236805,2012,★★,Dragoon_SWAP,L,1,0,0,100,x4,★★,◆◆◆,474,474,0,0,1,0,0,,0,,50,,,Locked
3292418,2006,★★,Manticore,S,1,0,0,100,x1,★★,,507,507,0,0,1,0,0,,0,,50,,,
3332595,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
3350430,1003,★★★,Hunter,,1,0,0,100,x1,★★★,,540,540,1,1,1,0,0,,0,,50,,,Locked
3359972,3008,★,Prowler,XL,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,Locked
3376994,2008,★★,Guard_SWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,638,638,0,0,1,0,0,,0,,50,,,Locked
3376998,1014,★★★,Alina,,4,588,188,112,x1,★★★,,452,452,1,1,1,0,0,,0,,53,,,Locked
