ID,No,Rarity,Dev. Rate,Level,Name,Damage,Accuracy,Evasion,Armor,Crit.Damage,Talent,Skill,Locked
1860169,8,★★★,600,47,Artillery Fairy,24.6,0.0,25.2,3.0,0,Evasion I,1,Locked
1861597,7,★★★,1050,50,Sniper Fairy,0.0,39.6,12.6,7.2,0,Armor I,9,Locked
1867188,25,★★★,1200,1,Twin Fairies,3.2,11.2,8.8,2.4,0,Accuracy I,4,Locked
1868045,1,★★★,700,1,Warrior Fairy,4.8,16.0,8.0,2.0,0,Evasion I,2,Locked
1868554,1007,★,0,1,Anna Graem,5.2,6.8,14.4,1.6,0,Aim,1,Locked
1871948,4,★★★★,1600,1,Shield Fairy,4.0,12.0,16.0,0.0,0,Fervor,2,Locked
1872499,2,★★★,1050,1,Fury Fairy,2.8,0.0,8.0,2.0,0,Assault,1,Locked
1880313,9,★★★,500,1,Airstrike Fairy,4.8,8.0,6.4,1.6,0,Evasion I,1,Locked
1884907,6,★★★,1150,1,Taunt Fairy,3.2,10.0,4.8,1.6,0,Critical I,1,Locked
1917888,16,★★★,1250,1,Rescue Fairy,7.6,20.0,16.0,0.0,0,Evasion I,1,Locked
1934073,10,★★,200,1,Reinforcement Fairy,2.0,0.0,14.0,2.0,0,Armor I,1,Locked
1936160,17,★★★,700,1,Illumination Fairy,0.0,20.0,7.2,1.6,0,Fervor,1,Locked
1949070,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,0,Keen,1,Locked
1952931,13,★,0,1,Rocket Fairy,0.0,10.0,0.0,5.2,0,Critical I,1,Locked
1981914,3,★★★,800,1,Armor Fairy,4.4,0.0,0.0,5.2,0,Armor I,1,Locked
1981947,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Critical I,1,Locked
1983871,5,★★,200,1,Defense Fairy,4.0,0.0,14.4,3.6,0,Fervor,1,Locked
1984976,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Armor I,1,Locked
1986746,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Assault,1,Locked
1992798,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Suppression,4,Locked
1994761,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Evasion I,4,Locked
2220738,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Suppression,1,
2220739,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Damage I,1,
2220740,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Fervor,1,
2232753,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Fervor,1,
2232754,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Charge,1,
2232984,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Accuracy I,1,
2232985,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Damage II,1,
2235688,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Damage I,1,
2237030,33,★,0,1,fairy-10000033,5.6,0.0,3.2,3.2,0,Sturdy,1,Locked
2272248,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0,Damage I,1,
2272254,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,0,Sturdy,1,Locked
2310343,34,★,0,1,fairy-10000034,3.6,12.0,9.6,0.0,0,fairy_trait-757184,1,Locked
2315232,24,★,0,1,Barrier Fairy,0.0,14.8,6.4,4.4,0,Sturdy,1,
2317017,2,★,0,1,Fury Fairy,2.8,0.0,8.0,2.0,0,Suppression,1,
2317018,9,★,0,1,Airstrike Fairy,4.8,8.0,6.4,1.6,0,Armor I,1,
2317019,25,★,0,1,Twin Fairies,3.2,11.2,8.8,2.4,0,Assault,1,
2317020,6,★,0,1,Taunt Fairy,3.2,10.0,4.8,1.6,0,Aim,1,
2317021,2,★,0,1,Fury Fairy,2.8,0.0,8.0,2.0,0,Accuracy I,1,
1852983,15,★★★★,2550,71,Command Fairy,24.8,0.0,23.2,6.4,0,Damage I,1,Locked
1981925,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Assault,1,Locked
1936164,11,★★★,815,67,Parachute Fairy,17.4,0.0,15.6,3.6,0,Damage I,10,Locked
1981944,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,0,Armor I,1,Locked
