Datetime,Category,Tier,SpentResource,Type,ID,Name,Rank,Talents
2022-09-21 14:50:18,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,6,Taunt Fairy,★,Evasion II
2022-09-21 14:50:20,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,9,Airstrike Fairy,★,Suppression
2022-09-21 14:50:21,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,3,Armor Fairy,★,Assault
2022-09-21 14:50:23,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,2,Fury Fairy,★,Evasion I
2022-09-21 14:50:24,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,7,Sniper Fairy,★,Damage II
2023-05-12 22:32:28,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Evasion II
2023-05-29 12:25:58,GUN,NORMAL,100/400/400/200,AR,107,FF F2000,★★,
2023-05-29 12:25:58,GUN,NORMAL,100/400/400/200,AR,74,SIG-510,★★,
2023-05-29 12:25:58,GUN,NORMAL,100/400/400/200,AR,105,OTs-12,★★★,
2023-05-29 12:25:58,GUN,NORMAL,100/400/400/200,AR,71,Galil,★★,
2023-07-26 10:16:04,GUN,NORMAL,400/400/100/200,AR,70,FF FNC,★★★,
2023-07-26 10:16:04,GUN,NORMAL,400/400/100/200,SMG,21,PPSh-41,★★,
2023-07-26 10:16:04,GUN,NORMAL,400/400/100/200,SMG,33,m45,★★,
2023-07-26 10:16:04,GUN,NORMAL,400/400/100/200,SMG,26,Gr MP5,★★★★,
