id,user_id,component_id,exp,level,skin,is_locked,roll_1,roll_2,roll_3,roll_4,roll_5,unlocked_att,heavy_damage,light_damage,reload,precision,atk_speed,hit,armor,dodge,crit_rate,crit_damage,L_armor_piercing,def_break,H_armor_piercing,energy,energy_bak,skill
41,562858,3125,0,0,0,0,crit_damage:14,H_armor_piercing:26,def_break:53,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,562858,2121,0,0,0,0,armor:5,dodge:5,skill:770100,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,562858,2129,0,0,0,0,def_break:60,skill:770026,crit_damage:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146,562858,2117,0,0,0,0,H_armor_piercing:30,skill:770047,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
178,562858,1118,0,0,0,0,reload:16,skill:770081,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,562858,2110,0,0,0,0,H_armor_piercing:30,skill:220185,heavy_damage:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1146,562858,2121,0,0,0,0,skill:770024,def_break:60,armor:5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1147,562858,1117,0,0,0,0,H_armor_piercing:38,crit_rate:20,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1184,562858,1007,33600,10,0,1,heavy_damage:48,light_damage:48,,,,"1,2",48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,
1230,562858,2114,0,0,0,0,crit_damage:16,skill:770032,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1492,562858,2117,0,0,0,0,def_break:60,H_armor_piercing:30,crit_rate:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2742,562858,1126,0,0,0,0,hit:10,L_armor_piercing:26,light_damage:48,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2837,562858,1114,0,0,0,0,skill:770084,def_break:76,crit_damage:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2899,562858,1007,0,0,0,1,light_damage:48,heavy_damage:48,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2900,562858,2121,2000,2,0,0,skill:770107,def_break:60,armor:5,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770107
3032,562858,1124,0,0,0,0,dodge:6,skill:770024,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3035,562858,1104,32880,10,0,0,skill:770113,def_break:76,light_damage:48,,,"1,2,3",0,48,0,0,0,0,0,0,0,0,0,76,0,0,0,770113
3036,562858,1101,0,0,0,0,light_damage:48,hit:10,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3335,562858,2134,0,0,0,0,def_break:60,dodge:5,crit_rate:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3406,562858,2129,0,0,0,0,crit_rate:16,skill:770028,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3407,562858,3133,0,0,0,0,skill:770109,crit_damage:14,crit_rate:14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3475,562858,3101,3300,3,0,0,skill:770090,hit:7,atk_speed:7,,,"1,2",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,770090
3504,562858,1127,0,0,0,0,skill:770107,dodge:6,armor:6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3690,562858,1117,0,0,0,0,skill:770047,def_break:76,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3693,562858,1110,0,0,0,0,precision:32,heavy_damage:48,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3694,562858,1108,33300,10,0,0,def_break:76,precision:32,heavy_damage:48,,,"1,2,3",48,0,0,32,0,0,0,0,0,0,0,76,0,0,0,
4027,562858,1102,0,0,0,0,skill:770113,hit:10,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4167,562858,1101,0,0,0,0,atk_speed:10,def_break:76,skill:770113,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4823,562858,1129,0,0,0,0,skill:770084,def_break:76,crit_damage:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5309,562858,1124,0,0,0,0,dodge:6,armor:6,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5310,562858,1105,0,0,0,0,def_break:76,crit_damage:20,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5312,562858,1008,0,0,0,0,light_damage:48,L_armor_piercing:26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5314,562858,1104,0,0,0,0,light_damage:48,L_armor_piercing:26,skill:770026,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5459,562858,1011,3600,3,0,0,armor:6,hit:10,,,,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,
5499,562858,1129,0,0,0,0,skill:770024,crit_rate:20,crit_damage:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5690,562858,1118,0,0,0,0,H_armor_piercing:38,precision:32,reload:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5828,562858,1103,0,0,0,0,hit:10,def_break:76,atk_speed:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5905,562858,1121,0,0,0,0,skill:770014,armor:6,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5961,562858,1115,0,0,0,0,H_armor_piercing:38,def_break:76,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5962,562858,2116,0,0,0,0,def_break:60,crit_rate:16,skill:770114,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5972,562858,1117,0,0,0,0,crit_damage:20,def_break:76,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5973,562858,1121,0,0,0,0,skill:770024,def_break:76,crit_damage:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5974,562858,1125,0,0,0,0,skill:770041,def_break:76,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5981,562858,1102,0,0,0,0,light_damage:48,def_break:76,skill:770114,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5983,562858,1118,0,0,0,0,skill:220181,precision:32,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5985,562858,1122,0,0,0,0,skill:770107,hit:10,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6512,562858,2121,0,0,0,0,dodge:5,skill:770028,armor:5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6675,562858,1013,3600,3,0,1,light_damage:48,atk_speed:10,,,,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,
6958,562858,2134,0,0,0,0,def_break:60,dodge:5,armor:5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7037,562858,1129,0,0,0,0,skill:770041,crit_rate:20,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7039,562858,1125,700,1,0,0,skill:770014,def_break:76,crit_rate:20,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770014
7522,562858,3123,0,0,0,0,L_armor_piercing:18,crit_rate:14,H_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7524,562858,2114,0,0,0,0,crit_damage:16,crit_rate:16,def_break:60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7571,562858,3127,0,0,0,0,armor:4,def_break:53,crit_damage:14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7643,562858,1125,0,0,0,0,crit_rate:20,skill:770026,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7644,562858,1125,0,0,0,0,L_armor_piercing:26,crit_damage:20,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7646,562858,1127,0,0,0,0,armor:6,dodge:6,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7647,562858,1125,0,0,0,0,crit_rate:20,L_armor_piercing:26,crit_damage:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7648,562858,1105,0,0,0,0,L_armor_piercing:26,def_break:76,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7653,562858,1118,0,0,0,0,def_break:76,H_armor_piercing:38,precision:32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7654,562858,1119,33100,10,0,0,reload:16,heavy_damage:48,skill:220175,,,"1,2,3",48,0,16,0,0,0,0,0,0,0,0,0,0,0,0,220175
7792,562858,2133,0,0,0,0,crit_rate:16,dodge:5,armor:5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7793,562858,2125,0,0,0,0,H_armor_piercing:30,L_armor_piercing:20,skill:770014,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7824,562858,1125,0,0,0,0,crit_damage:20,crit_rate:20,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7826,562858,2127,0,0,0,0,def_break:60,crit_rate:16,crit_damage:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8659,562858,1119,0,0,0,0,precision:32,reload:16,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8660,562858,1118,0,0,0,0,heavy_damage:48,H_armor_piercing:38,precision:32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8661,562858,1127,0,0,0,0,skill:770028,crit_damage:20,armor:6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14036,562858,2116,0,0,0,0,crit_damage:16,crit_rate:16,L_armor_piercing:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14079,562858,2133,0,0,0,0,crit_rate:16,skill:770016,dodge:5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14080,562858,2129,0,0,0,0,def_break:60,skill:770024,crit_damage:16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14344,562858,1127,0,0,0,0,armor:6,crit_rate:20,dodge:6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14345,562858,1133,0,0,0,0,skill:770026,dodge:6,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14596,562858,1126,0,0,0,0,skill:770125,light_damage:48,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14672,562858,1103,0,0,0,0,atk_speed:10,light_damage:48,skill:770113,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15767,562858,1125,0,0,0,0,def_break:76,skill:770014,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15768,562858,1115,0,0,0,0,crit_rate:20,H_armor_piercing:38,def_break:76,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15778,562858,1123,0,0,0,0,skill:770084,L_armor_piercing:26,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15780,562858,1114,0,0,0,0,crit_damage:20,L_armor_piercing:26,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15781,562858,1116,0,0,0,0,crit_damage:20,skill:770037,L_armor_piercing:26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15784,562858,1125,0,0,0,0,crit_damage:20,def_break:76,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15786,562858,1126,0,0,0,0,def_break:76,skill:220187,hit:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16240,562858,1107,0,0,0,0,skill:770125,hit:10,atk_speed:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16468,562858,1013,0,0,0,1,atk_speed:10,light_damage:48,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16470,562858,1008,0,0,0,0,H_armor_piercing:38,L_armor_piercing:26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16641,562858,1115,0,0,0,0,H_armor_piercing:38,crit_damage:20,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16642,562858,1129,0,0,0,0,skill:770024,def_break:76,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16750,562858,1124,0,0,0,0,skill:770114,def_break:76,armor:6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16751,562858,1116,0,0,0,0,def_break:76,crit_damage:20,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17112,562858,1116,4000,3,0,0,def_break:76,skill:770104,crit_rate:20,,,"1,2",0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,770104
17678,562858,1117,0,0,0,0,crit_rate:20,def_break:76,H_armor_piercing:38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17679,562858,1115,0,0,0,0,H_armor_piercing:38,crit_damage:20,crit_rate:20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17866,562858,1126,0,0,0,0,def_break:76,light_damage:48,hit:10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
